City,Country,Latitude,Longitude,Maximum_Temp,Cloudiness,Pressure,Windspeed,Humidity,Date
Tiksi,RU,71.64,128.87,-6.04,56,1019.77,1.87,86,2019-04-06 03:09:50
New Norfolk,AU,-42.78,147.06,19.0,40,1014.0,7.7,39,2019-04-06 03:09:15
Dikson,RU,73.51,80.55,-6.49,76,1000.77,5.87,100,2019-04-06 03:09:51
Diego de Almagro,CL,-26.39,-70.05,14.12,0,1015.65,1.07,85,2019-04-06 03:09:52
Laguna,MX,27.52,-110.01,23.0,5,1012.0,1.5,28,2019-04-06 01:42:00
Jinxiang,CN,35.07,116.31,29.44,0,995.0,5.82,25,2019-04-06 02:35:35
Verkhniy Lomov,RU,53.47,43.56,-0.34,76,1024.37,3.92,96,2019-04-06 03:09:52
Abu Dhabi,AE,24.47,54.37,26.0,0,1012.0,4.1,61,2019-04-06 02:00:00
Villa Rica,PE,-10.74,-75.27,20.87,88,1010.69,0.87,92,2019-04-06 03:09:53
Provideniya,RU,64.42,-173.23,-3.74,0,1008.01,1.02,100,2019-04-06 03:09:03
Gallup,US,35.53,-108.74,12.0,75,1016.0,6.7,27,2019-04-06 01:53:00
Albany,US,42.65,-73.75,1.67,90,1024.0,2.77,98,2019-04-06 03:06:03
Borba,PT,38.81,-7.46,7.17,64,1006.69,5.72,95,2019-04-06 03:09:54
Binzhou,CN,37.38,117.96,24.12,0,1005.01,3.87,40,2019-04-06 03:09:54
Sorland,NO,67.67,12.69,3.42,0,1022.17,0.72,100,2019-04-06 03:09:54
Lebu,ET,8.96,38.73,15.0,0,1025.0,3.6,77,2019-04-06 02:00:00
Punta Arenas,CL,-53.16,-70.91,4.0,40,985.0,11.8,100,2019-04-06 02:52:27
Umba,RU,66.69,34.34,-8.09,8,1030.05,2.12,84,2019-04-06 03:09:55
Puerto El Triunfo,SV,13.27,-88.55,28.0,20,1012.0,2.1,78,2019-04-06 01:50:00
Beloha,MG,-25.17,45.06,21.97,0,1014.73,2.92,75,2019-04-06 03:09:56
Chester,GB,53.19,-2.89,7.22,0,1006.0,6.2,75,2019-04-06 03:09:05
Tautira,PF,-17.73,-149.15,32.0,40,1012.0,3.6,62,2019-04-06 02:52:23
Noumea,NC,-22.28,166.46,28.0,20,1014.0,6.2,45,2019-04-06 02:30:00
Hilo,US,19.71,-155.08,26.0,75,1017.0,5.1,65,2019-04-06 03:09:31
Ushuaia,AR,-54.81,-68.31,4.0,40,976.0,10.8,93,2019-04-06 02:00:00
Chuy,UY,-33.69,-53.46,18.22,44,1019.57,5.67,82,2019-04-06 03:05:31
Pevek,RU,69.7,170.27,-12.99,20,1021.05,4.87,86,2019-04-06 03:08:32
Santa Isabel,CO,4.71,-75.1,23.0,75,1019.0,1.5,100,2019-04-06 02:00:00
Rikitea,PF,-23.12,-134.97,25.27,48,1017.13,6.62,100,2019-04-06 03:05:32
Sao Joao da Barra,BR,-21.64,-41.05,28.02,0,1012.61,11.67,93,2019-04-06 03:10:00
Sobolevo,RU,54.43,31.9,-4.64,0,1025.09,1.27,70,2019-04-06 03:10:01
Kapaa,US,22.08,-159.32,27.0,1,1017.0,3.6,57,2019-04-06 03:03:17
Cape Town,ZA,-33.93,18.42,14.44,0,1017.0,2.1,76,2019-04-06 03:08:10
Novomykolayivka,UA,48.54,32.26,0.27,0,1021.85,2.97,62,2019-04-06 03:10:02
Cherskiy,RU,68.75,161.3,-6.89,0,1020.13,1.22,71,2019-04-06 03:10:02
Avarua,CK,-21.21,-159.78,27.0,0,1014.0,4.1,65,2019-04-06 02:30:00
Bluff,AU,-23.58,149.07,29.52,0,1018.57,4.22,44,2019-04-06 03:10:03
Jamestown,AU,-33.21,138.6,22.62,0,1021.33,1.82,36,2019-04-06 03:10:04
Barrow,AR,-38.31,-60.23,12.57,0,1020.57,5.72,69,2019-04-06 03:10:04
Usvyaty,RU,55.75,30.75,-4.54,0,1026.21,1.57,77,2019-04-06 03:10:05
Haibara,JP,34.53,135.95,19.0,0,1012.0,2.1,59,2019-04-06 03:00:02
Cairns,AU,-16.92,145.77,27.0,75,1015.0,4.6,78,2019-04-06 03:08:19
Upernavik,GL,72.79,-56.15,-9.24,36,1012.01,4.42,100,2019-04-06 03:07:06
Port Alfred,ZA,-33.59,26.89,14.44,80,1022.0,3.42,91,2019-04-06 03:07:30
Nome,US,30.04,-94.42,23.0,90,1015.0,2.1,83,2019-04-06 03:07:21
Eucaliptus,BO,-17.6,-67.51,0.87,0,1015.29,2.12,49,2019-04-06 03:10:06
San Patricio,PY,-26.98,-56.83,18.12,92,1018.17,2.97,84,2019-04-06 03:10:07
Tasiilaq,GL,65.61,-37.64,-1.0,56,1024.0,13.4,58,2019-04-06 01:50:00
Gouyave,GD,12.16,-61.73,24.0,75,1016.0,6.7,88,2019-04-06 02:00:00
Vostok,RU,46.45,135.83,0.62,88,1000.77,1.62,70,2019-04-06 03:10:08
Bredasdorp,ZA,-34.53,20.04,15.56,0,1021.0,1.5,93,2019-04-06 03:02:11
Bodden Town,KY,19.28,-81.25,26.11,20,1016.0,2.1,88,2019-04-06 03:00:04
Ancud,CL,-41.87,-73.83,10.0,90,1021.0,2.1,87,2019-04-06 02:00:00
Hami,CN,42.84,93.51,17.02,0,1011.93,2.97,44,2019-04-06 03:10:09
